Review Id,User Name,Review,Rating,Date of Review,reviewCreatedVersion
e7f7b638-24d7-4081-806c-ed7fbb308fec,A Google user,Add @enger109 På snapp,5,2019-08-31 18:03:28,1.2.2
,Fjorn2,Klp var heller ikke med. Lokasjon på hvor du er bommet litt også..,4,2013-09-05,
,Thomasenger,Vær så snill. Optimaliser denne appen for noe mer enn iPhone 4.,2,2019-01-28,
,HælleMåne,Fungerer ikke,1,2015-04-28,
,Norwegian in Wiesn,"Tanken bak denne appen er superb, og et midt i blinken for alle som reiser utenlands. Likevel har den flere mangler som er enkle å rette på og dermed vil kunne heve kvaliteten til neste oppdaterte versjon. Noen umiddelbare tips til forbedringer:
1) Oversikten over alle sjømannskirkene bør inneholde GPS-koordinater, så det er lett å finne frem når man kommer i bil.
2) Ufullstendige adresser til sjømannskirkene. Noen er oppgitt kun med gateadresse - og ingenting annet.
3) Oversikten bør være listet etter land, og med de enkelte kirkene i underkategori. Slik det er nå, er det litt land og litt steder/byer, og det er inkonsekvent. Eksempelvis ligger kirken i ""Antwerpen"" inne, mens lenger nede finner man ""Belgia"".

Oppsummert: Prinsippet bak appen er genial, men det trengs en god revisjon så vil neste versjon være gull :) Lykke til!",4,2013-09-05,
,Tulltur,Eneste som manglet var at navnet på selskaper hvor jeg har reiseforsikring manglet i listen. AIG fantes ikke.,4,2013-09-04,
